1001|张伟|男|18|13910000001|370100200801010037|A|P1001|1|1|5001|0
1002|患者002|女|19|13910000002|370100200702020061|B|P1002|1|1|5027|0
1003|患者003|男|20|13910000003|37010020060303007X|O|P1003|1|1|5053|0
1004|患者004|女|21|13910000004|370100200504040109|AB|P1004|1|1|5079|0
1005|患者005|男|22|13910000005|370100200405050117|A|P1005|1|1|5105|0
1006|患者006|女|22|13910000006|370100200306060141|B|P1006|1|1|5131|0
1007|患者007|男|23|13910000007|37010020020707015X|O|P1007|1|1|5007|0
1008|患者008|女|24|13910000008|370100200108080184|AB|P1008|1|1|5033|0
1009|患者009|男|25|13910000009|370100200009090192|A|P1009|1|1|5059|0
1010|患者010|女|26|13910000010|370100199910100220|B|P1010|1|1|5085|0
1011|患者011|男|27|13910000011|370100199811110239|O|P1011|1|1|5111|0
1012|患者012|女|28|13910000012|370100199712120263|AB|P1012|1|1|5137|0
1013|患者013|男|30|13910000013|370100199601130274|A|P1013|1|1|5013|0
1014|患者014|女|31|13910000014|370100199502140303|B|P1014|1|1|5039|0
1015|患者015|男|32|13910000015|370100199403150311|O|P1015|1|1|5065|0
1016|患者016|女|33|13910000016|370100199304160346|AB|P1016|1|1|5091|0
1017|患者017|男|33|13910000017|370100199205170354|A|P1017|1|1|5117|0
1018|患者018|女|34|13910000018|370100199106180389|B|P1018|1|1|5143|0
1019|患者019|男|35|13910000019|370100199007190397|O|P1019|1|1|5019|0
1020|患者020|女|36|13910000020|370100198908200420|AB|P1020|1|1|5045|0
1021|患者021|男|37|13910000021|370100198809210439|A|P1021|1|1|5071|0
1022|患者022|女|38|13910000022|370100198710220469|B|P1022|1|1|5097|0
1023|患者023|男|39|13910000023|370100198611230477|O|P1023|1|1|5123|0
1024|患者024|女|40|13910000024|370100198512240506|AB|P1024|1|1|5149|0
1025|患者025|男|42|13910000025|370100198401250517|A|P1025|1|1|5025|0
1026|张伟|女|43|13910000026|370100198302260541|B|P1026|1|1|5026|0
1027|患者027|男|44|13910000027|37010019820327055X|O|P1027|1|1|5052|0
1028|患者028|女|45|13910000028|370100198104280584|AB|P1028|1|1|5078|0
1029|患者029|男|46|13910000029|370100198005010597|A|P1029|1|1|5104|0
1030|患者030|女|46|13910000030|370100197906020624|B|P1030|1|1|5130|0
1031|患者031|男|47|13910000031|370100197807030632|O|P1031|1|1|5006|0
1032|患者032|女|48|13910000032|370100197708040667|AB|P1032|1|1|5032|0
1033|患者033|男|49|13910000033|370100197609050675|A|P1033|1|0|0|0
1034|王芳|女|50|13910000034|37010019751006070X|B|P1034|1|0|0|0
1035|患者035|男|51|13910000035|370100197411070718|O|P1035|1|0|0|0
1036|患者036|女|52|13910000036|370100197312080742|AB|P1036|1|0|0|0
1037|患者037|男|54|13910000037|370100197201090753|A|P1037|1|0|0|0
1038|患者038|女|55|13910000038|370100197102100784|B|P1038|1|0|0|0
1039|患者039|男|56|13910000039|370100197003110792|O|P1039|1|0|0|0
1040|患者040|女|57|13910000040|37010019690412082X|AB|P1040|1|0|0|0
1041|患者041|男|57|13910000041|370100196805130838|A|P1041|1|0|0|0
1042|患者042|女|58|13910000042|370100196706140862|B|P1042|1|0|0|0
1043|患者043|男|59|13910000043|370100196607150870|O|P1043|1|0|0|0
1044|患者044|女|60|13910000044|37010019650816090X|AB|P1044|1|0|0|0
1045|患者045|男|61|13910000045|370100196409170918|A|P1045|1|0|0|0
1046|患者046|女|62|13910000046|370100196310180948|B|P1046|1|0|0|0
1047|患者047|男|63|13910000047|370100196211190956|O|P1047|1|0|0|0
1048|患者048|女|64|13910000048|370100196112200987|AB|P1048|1|0|0|0
1049|患者049|男|66|13910000049|370100196001210998|A|P1049|1|0|0|0
1050|患者050|女|67|13910000050|370100195902221024|B|P1050|1|0|0|0
1051|张伟|男|68|13910000051|370100195803231032|O|P1051|1|0|0|0
1052|患者052|女|69|13910000052|370100195704241067|AB|P1052|1|0|0|0
1053|患者053|男|69|13910000053|370100195605251075|A|P1053|1|0|0|0
1054|患者054|女|70|13910000054|370100195506261104|B|P1054|1|0|0|0
1055|患者055|男|71|13910000055|370100195407271112|O|P1055|1|0|0|0
1056|患者056|女|72|13910000056|370100195308281147|AB|P1056|1|0|0|0
1057|患者057|男|73|13910000057|37010019520901115X|A|P1057|1|0|0|0
1058|患者058|女|74|13910000058|37010019511002118X|B|P1058|1|0|0|0
1059|患者059|男|75|13910000059|370100195011031198|O|P1059|1|0|0|0
1060|患者060|女|76|13910000060|370100194912041225|AB|P1060|1|0|0|0
1061|患者061|男|18|13910000061|370100200801051234|A|P1061|1|0|0|0
1062|患者062|女|19|13910000062|370100200702061269|B|P1062|1|0|0|0
1063|患者063|男|20|13910000063|370100200603071277|O|P1063|1|0|0|0
1064|患者064|女|21|13910000064|370100200504081306|AB|P1064|1|0|0|0
1065|患者065|男|21|13910000065|370100200405091314|A|P1065|1|0|0|0
1066|患者066|女|22|13910000066|370100200306101345|B|P1066|1|0|0|0
1067|王芳|男|23|13910000067|370100200207111353|O|P1067|1|0|0|0
1068|患者068|女|24|13910000068|370100200108121388|AB|P1068|1|0|0|0
1069|患者069|男|25|13910000069|370100200009131396|A|P1069|1|0|0|0
1070|患者070|女|26|13910000070|370100199910141428|B|P1070|1|0|0|0
1071|患者071|男|27|13910000071|370100199811151436|O|P1071|1|0|0|0
1072|患者072|女|28|13910000072|370100199712161460|AB|P1072|1|0|0|0
1073|患者073|男|30|13910000073|370100199601171471|A|P1073|1|0|0|0
1074|患者074|女|31|13910000074|370100199502181500|B|P1074|1|0|0|0
1075|患者075|男|32|13910000075|370100199403191519|O|P1075|1|0|0|0
1076|张伟|女|33|13910000076|37010019930420154X|AB|P1076|1|0|0|0
1077|患者077|男|33|13910000077|370100199205211558|A|P1077|1|0|0|0
1078|患者078|女|34|13910000078|370100199106221582|B|P1078|1|0|0|0
1079|患者079|男|35|13910000079|370100199007231590|O|P1079|1|0|0|0
1080|患者080|女|36|13910000080|370100198908241628|AB|P1080|1|0|0|0
1081|患者081|男|37|13910000081|370100198809251636|A|P1081|1|0|0|0
1082|患者082|女|38|13910000082|370100198710261666|B|P1082|1|0|0|0
1083|患者083|男|39|13910000083|370100198611271674|O|P1083|1|0|0|0
1084|患者084|女|40|13910000084|370100198512281703|AB|P1084|1|0|0|0
1085|患者085|男|42|13910000085|370100198401011719|A|P1085|1|0|0|0
1086|患者086|女|43|13910000086|370100198302021743|B|P1086|1|0|0|0
1087|患者087|男|44|13910000087|370100198203031751|O|P1087|1|0|0|0
1088|患者088|女|45|13910000088|370100198104041786|AB|P1088|1|0|0|0
1089|患者089|男|46|13910000089|370100198005051794|A|P1089|1|0|0|0
1090|患者090|女|46|13910000090|370100197906061821|B|P1090|1|0|0|0
1091|患者091|男|47|13910000091|37010019780707183X|O|P1091|1|0|0|0
1092|患者092|女|48|13910000092|370100197708081864|AB|P1092|1|0|0|0
1093|患者093|男|49|13910000093|370100197609091872|A|P1093|1|0|0|0
